uri,type,dc.id,collection,notation,prefLabel,altLabel,broader,broaderTransitive,broadMatch,changeNote,closeMatch,definition,editorialNote,exactMatch,example,hiddenLabel,historyNote,inScheme,mappingRelation,note,related,relatedMatch,scopeNote,semanticRelation,topConceptOf
ct:v',skos:Concept,v',colt:quartaireeenheid,,Venig complex,,,,,,,,,,,,,cs:quartaireeenheid,,,,,,,cs:quartaireeenheid
ct:w,skos:Concept,w,colt:quartaireeenheid,,Dominant zandig facies,,,,,,,,,,,,,cs:quartaireeenheid,,,,,,,cs:quartaireeenheid
ct:w',skos:Concept,w',colt:quartaireeenheid,,Niet gedifferentieerd facies,,,,,,,,,,,,,cs:quartaireeenheid,,,,,,,cs:quartaireeenheid
ct:x,skos:Concept,x,colt:quartaireeenheid,,Saale continentaal,,,,,,,,,,,,,cs:quartaireeenheid,,,,,,,cs:quartaireeenheid
ct:x',skos:Concept,x',colt:quartaireeenheid,,Dominant zandig facies met bodemhorizonten en veenlagen (Lid van Beerse),,,,,,,,,,,,,cs:quartaireeenheid,,,,,,,cs:quartaireeenheid
ct:¦,skos:Concept,¦,colt:quartaireeenheid,,"Kleiig tot grindrijk facies (Maas en Rijn, Leut)",,,,,,,,,,,,,cs:quartaireeenheid,,,,,,,cs:quartaireeenheid
ct:§,skos:Concept,§,colt:quartaireeenheid,,Zandig facies tot grindfacies (Schelde),,,,,,,,,,,,,cs:quartaireeenheid,,,,,,,cs:quartaireeenheid
ct:©,skos:Concept,©,colt:quartaireeenheid,,Fijn zand tot klei,,,,,,,,,,,,,cs:quartaireeenheid,,,,,,,cs:quartaireeenheid
ct:®,skos:Concept,®,colt:quartaireeenheid,,"Zand, soms grind",,,,,,,,,,,,,cs:quartaireeenheid,,,,,,,cs:quartaireeenheid
ct:µ,skos:Concept,µ,colt:quartaireeenheid,,Complex van Melle,,,,,,,,,,,,,cs:quartaireeenheid,,,,,,,cs:quartaireeenheid
ct:Á,skos:Concept,Á,colt:quartaireeenheid,,Zand tot zandleem met mogelijks in het basisgedeelte een alternatie van fijnere en grovere laagjes,,,,,,,,,,,,,cs:quartaireeenheid,,,,,,,cs:quartaireeenheid
ct:Ç,skos:Concept,Ç,colt:quartaireeenheid,,Ondiep Tertiair substraat,,,,,,,,,,,,,cs:quartaireeenheid,,,,,,,cs:quartaireeenheid
ct:Ø,skos:Concept,Ø,colt:quartaireeenheid,,"Grind facies (Maas en Rijn, Lanklaar)",,,,,,,,,,,,,cs:quartaireeenheid,,,,,,,cs:quartaireeenheid
ct:Þ,skos:Concept,Þ,colt:quartaireeenheid,,"Zand- en grindfacies (Maas en Rijn, Winterslag)",,,,,,,,,,,,,cs:quartaireeenheid,,,,,,,cs:quartaireeenheid
ct:ß,skos:Concept,ß,colt:quartaireeenheid,,"Zand- en grindfacies (Maas en Rijn, Bocholt)",,,,,,,,,,,,,cs:quartaireeenheid,,,,,,,cs:quartaireeenheid
ct:á,skos:Concept,á,colt:quartaireeenheid,,Klei tot kleiig zand,,,,,,,,,,,,,cs:quartaireeenheid,,,,,,,cs:quartaireeenheid
ct:â,skos:Concept,â,colt:quartaireeenheid,,"Homogeen silt gevolgd door silt met intercalaties van kleiige, venige en/of zandige laagjes",,,,,,,,,,,,,cs:quartaireeenheid,,,,,,,cs:quartaireeenheid
ct:æ,skos:Concept,æ,colt:quartaireeenheid,,Homogene silt en silt met intercalaties van kleiige en zandige laagjes,,,,,,,,,,,,,cs:quartaireeenheid,,,,,,,cs:quartaireeenheid
ct:ç,skos:Concept,ç,colt:quartaireeenheid,,Herwerkte Tertiaire afzettingen,,,,,,,,,,,,,cs:quartaireeenheid,,,,,,,cs:quartaireeenheid
ct:ç',skos:Concept,ç',colt:quartaireeenheid,,Herwerkte afzettingen,,,,,,,,,,,,,cs:quartaireeenheid,,,,,,,cs:quartaireeenheid
